# sampleTime, q_w, q_x, q_y, q_z, systemTime, omega_x, omega_y, omega_z, alpha_x, alpha_y, alpha_z, p_x, p_y, p_z, v_x, v_y, v_z, a_x, a_y, a_z
0.1538462, 1, 5.2120112e-07, 3.9717055e-08, -3.0701833e-07, 0.1538461596743723, -3.115242e-06, 1.107546e-06, 1.107545e-06, -1.1034507e-05, 5.9651447e-06, 5.9651416e-06, 0, 0, 0, 0, 0, 0, 3.8941712e-06, -9.5367432e-07, 5.6235353e-06
0.1538462, 1, 5.2120112e-07, 3.9717055e-08, -3.0701833e-07, 0.1538461596743723, -3.115242e-06, 1.107546e-06, 1.107545e-06, -1.1034507e-05, 5.9651447e-06, 5.9651416e-06, 0, 0, 0, 0, 0, 0, 3.8941712e-06, -9.5367432e-07, 5.6235353e-06
0.1538462, 1, 5.2120112e-07, 3.9717055e-08, -3.0701833e-07, 0.1538461596743723, -3.115242e-06, 1.107546e-06, 1.107545e-06, -1.1034507e-05, 5.9651447e-06, 5.9651416e-06, 0, 0, 0, 0, 0, 0, 3.8941712e-06, -9.5367432e-07, 5.6235353e-06
0.1634615, 1, 4.9885222e-07, 4.5300958e-08, -2.9661007e-07, 0.1634615414638004, -3.3145061e-06, 1.215359e-06, 1.215358e-06, -1.264939e-05, 6.839753e-06, 6.8397494e-06, 0, 0, 0, 0, 0, 0, 4.1985736e-06, -9.5367432e-07, 6.0650609e-06
0.1634615, 1, 4.9885222e-07, 4.5300958e-08, -2.9661007e-07, 0.1634615414638004, -3.3145061e-06, 1.215359e-06, 1.215358e-06, -1.264939e-05, 6.839753e-06, 6.8397494e-06, 0, 0, 0, 0, 0, 0, 4.1985736e-06, -9.5367432e-07, 6.0650609e-06
0.1634615, 1, 4.9885222e-07, 4.5300958e-08, -2.9661007e-07, 0.1634615414638004, -3.3145061e-06, 1.215359e-06, 1.215358e-06, -1.264939e-05, 6.839753e-06, 6.8397494e-06, 0, 0, 0, 0, 0, 0, 4.1985736e-06, -9.5367432e-07, 6.0650609e-06
0.1730769, 1, 4.7500305e-07, 5.1423402e-08, -2.8524479e-07, 0.1730769229441343, -3.529296e-06, 1.331582e-06, 1.331581e-06, -1.426428e-05, 7.7143677e-06, 7.7143623e-06, 0, 0, 0, 0, 0, 0, 4.4947656e-06, -9.5367432e-07, 6.4966785e-06
0.1730769, 1, 4.7500305e-07, 5.1423402e-08, -2.8524479e-07, 0.1730769229441343, -3.529296e-06, 1.331582e-06, 1.331581e-06, -1.426428e-05, 7.7143677e-06, 7.7143623e-06, 0, 0, 0, 0, 0, 0, 4.4947656e-06, -9.5367432e-07, 6.4966785e-06
0.1730769, 1, 4.7500305e-07, 5.1423402e-08, -2.8524479e-07, 0.1730769229441343, -3.529296e-06, 1.331582e-06, 1.331581e-06, -1.426428e-05, 7.7143677e-06, 7.7143623e-06, 0, 0, 0, 0, 0, 0, 4.4947656e-06, -9.5367432e-07, 6.4966785e-06
0.1826923, 1, 4.4960598e-07, 5.8124829e-08, -2.7289514e-07, 0.1826923064266978, -3.7596151e-06, 1.456214e-06, 1.456213e-06, -1.5879164e-05, 8.5889751e-06, 8.5889715e-06, 0, 0, 0, 0, 0, 0, 4.7830026e-06, -9.5367432e-07, 6.9189196e-06
0.1826923, 1, 4.4960598e-07, 5.8124829e-08, -2.7289514e-07, 0.1826923064266978, -3.7596151e-06, 1.456214e-06, 1.456213e-06, -1.5879164e-05, 8.5889751e-06, 8.5889715e-06, 0, 0, 0, 0, 0, 0, 4.7830026e-06, -9.5367432e-07, 6.9189196e-06
0.1826923, 1, 4.4960598e-07, 5.8124829e-08, -2.7289514e-07, 0.1826923064266978, -3.7596151e-06, 1.456214e-06, 1.456213e-06, -1.5879164e-05, 8.5889751e-06, 8.5889715e-06, 0, 0, 0, 0, 0, 0, 4.7830026e-06, -9.5367432e-07, 6.9189196e-06
